Ano;NOME;Métrica;Valor
2020;ALUNO-17;DESTAQUE_IDA;Seu destaque em 2020: As suas boas notas na Passos Mágicos.
2020;ALUNO-17;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-17;IAA;9.500020000000001
2020;ALUNO-17;IEG;6.8
2020;ALUNO-17;IPS;7.5
2020;ALUNO-17;IDA;10
2020;ALUNO-17;IPP;6.5625
2020;ALUNO-17;IPV;7.75
2020;ALUNO-17;IAN;5
2020;ALUNO-17;FASE_2021;1.0
2020;ALUNO-18;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-18;IDADE_ALUNO;14
2020;ALUNO-18;ANOS_PM;3
2020;ALUNO-18;FASE_TURMA;3E
2020;ALUNO-18;PONTO_VIRADA;Não
2020;ALUNO-18;INDE;7.2055576666666665
2020;ALUNO-18;INDE_CONCEITO;C
2020;ALUNO-18;PEDRA;Ágata
2020;ALUNO-18;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
2020;ALUNO-18;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-18;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-18;IAA;9.58335
2020;ALUNO-18;IEG;7
2020;ALUNO-18;IPS;7.5
2020;ALUNO-18;IDA;6.5
2020;ALUNO-18;IPP;7.083333333333334
2020;ALUNO-18;IPV;7.944446666666665
2020;ALUNO-18;IAN;5
2020;ALUNO-18;FASE_2021;4.0
2020;ALUNO-19;FASE_2021;2.0
2020;ALUNO-28;INSTITUICAO_ENSINO_ALUNO;Rede Decisão/União
2020;ALUNO-28;IDADE_ALUNO;13
2020;ALUNO-28;ANOS_PM;2
2020;ALUNO-28;FASE_TURMA;3J
2020;ALUNO-28;PONTO_VIRADA;Sim
2020;ALUNO-28;INDE;9.354725666666667
2020;ALUNO-28;INDE_CONCEITO;A
2020;ALUNO-28;PEDRA;Topázio
2020;ALUNO-28;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-28;DESTAQUE_IDA;Seu destaque em 2020: As suas boas notas na Passos Mágicos.
2020;ALUNO-28;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-28;IAA;9.58335
2020;ALUNO-28;IEG;9.6
2020;ALUNO-28;IPS;6.875
2020;ALUNO-28;IDA;9
2020;ALUNO-28;IPP;10
2020;ALUNO-28;IPV;9.944453333333334
2020;ALUNO-28;IAN;10
2020;ALUNO-28;FASE_2021;4.0
2020;ALUNO-29;FASE_2021;3.0
2020;ALUNO-30;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-30;IDADE_ALUNO;7
2020;ALUNO-30;ANOS_PM;0
2020;ALUNO-30;FASE_TURMA;0C
2020;ALUNO-30;PONTO_VIRADA;Não
2020;ALUNO-30;INDE;7.125001
2020;ALUNO-30;INDE_CONCEITO;C
2020;ALUNO-30;PEDRA;Ágata
2020;ALUNO-30;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
