inep_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
35144770;2010;4;1;4;0;0;0;0;AF
35144770;2010;4;1;5;0;0;0;0;AF
35144770;2010;4;1;6;37;100;0;0;AF
35144770;2010;4;1;7;29;100;0;0;AF
35144770;2010;4;1;8;26;100;0;0;AF
35144770;2010;4;1;9;35;97.1;2.9;0;AF
35144770;2010;4;1;10;23;90.5;9.5;0;AF
35144770;2010;4;1;11;23;100;0;0;AF
35144770;2010;4;1;12;27;100;0;0;AF
35206805;2010;3;1;1;96;100;0;0;AF
35206805;2010;3;1;2;131;100;0;0;AF
35206805;2010;3;1;3;150;91.4;8.6;0;AF
35206805;2010;3;1;4;84;100;0;0;AF
35206805;2010;3;1;5;124;98.4;1.6;0;AF
35206805;2010;3;1;6;0;0;0;0;AF
35206805;2010;3;1;7;0;0;0;0;AF
35206805;2010;3;1;8;0;0;0;0;AF
35206805;2010;3;1;9;0;0;0;0;AF
35206805;2010;3;1;10;0;0;0;0;AF
35206805;2010;3;1;11;0;0;0;0;AF
35206805;2010;3;1;12;0;0;0;0;AF
35247236;2010;3;2;1;35;100;0;0;AF
35247236;2010;3;2;2;33;100;0;0;AF
35247236;2010;3;2;3;12;100;0;0;AF
35247236;2010;3;2;4;10;100;0;0;AF
35247236;2010;3;2;5;6;100;0;0;AF
35247236;2010;3;2;6;0;0;0;0;AF
35247236;2010;3;2;7;0;0;0;0;AF
35247236;2010;3;2;8;0;0;0;0;AF
35247236;2010;3;2;9;0;0;0;0;AF
35247236;2010;3;2;10;0;0;0;0;AF
35247236;2010;3;2;11;0;0;0;0;AF
35247236;2010;3;2;12;0;0;0;0;AF
35277836;2010;3;1;1;60;98.3;0;1.7;AF
35277836;2010;3;1;2;26;100;0;0;AF
35277836;2010;3;1;3;28;88.9;11.1;0;AF
35277836;2010;3;1;4;29;100;0;0;AF
35277836;2010;3;1;5;50;91.3;8.7;0;AF
35277836;2010;3;1;6;36;100;0;0;AF
35277836;2010;3;1;7;59;83.9;14.3;1.8;AF
35277836;2010;3;1;8;38;97.1;0;2.9;AF
35277836;2010;3;1;9;0;0;0;0;AF
35277836;2010;3;1;10;0;0;0;0;AF
35277836;2010;3;1;11;0;0;0;0;AF
35277836;2010;3;1;12;0;0;0;0;AF
35277848;2010;3;1;1;73;97.3;0;2.7;AF
35277848;2010;3;1;2;67;95.8;0;4.2;AF
35277848;2010;3;1;3;55;85.7;12.5;1.8;AF
35277848;2010;3;1;4;74;94.4;0;5.6;AF
35277848;2010;3;1;5;68;90;7.1;2.9;AF
35277848;2010;3;1;6;0;0;0;0;AF
35277848;2010;3;1;7;0;0;0;0;AF
35277848;2010;3;1;8;0;0;0;0;AF
35277848;2010;3;1;9;0;0;0;0;AF
35277848;2010;3;1;10;0;0;0;0;AF
35277848;2010;3;1;11;0;0;0;0;AF
35277848;2010;3;1;12;0;0;0;0;AF
35277859;2010;3;1;1;33;100;0;0;AF
35277859;2010;3;1;2;31;100;0;0;AF
35277859;2010;3;1;3;24;100;0;0;AF
35277859;2010;3;1;4;26;100;0;0;AF
35277859;2010;3;1;5;43;100;0;0;AF
35277859;2010;3;1;6;0;0;0;0;AF
35277859;2010;3;1;7;0;0;0;0;AF
35277859;2010;3;1;8;0;0;0;0;AF
35277859;2010;3;1;9;0;0;0;0;AF
35277859;2010;3;1;10;0;0;0;0;AF
35277859;2010;3;1;11;0;0;0;0;AF
35277859;2010;3;1;12;0;0;0;0;AF
35277861;2010;3;1;1;12;100;0;0;AF
35277861;2010;3;1;2;4;100;0;0;AF
35277861;2010;3;1;3;18;93.8;6.2;0;AF
35277861;2010;3;1;4;22;100;0;0;AF
35277861;2010;3;1;5;34;96.9;3.1;0;AF
35277861;2010;3;1;6;0;0;0;0;AF
35277861;2010;3;1;7;0;0;0;0;AF
35277861;2010;3;1;8;0;0;0;0;AF
35277861;2010;3;1;9;0;0;0;0;AF
35277861;2010;3;1;10;0;0;0;0;AF
35277861;2010;3;1;11;0;0;0;0;AF
35277861;2010;3;1;12;0;0;0;0;AF
35301413;2010;3;1;1;10;100;0;0;AF
35301413;2010;3;1;2;7;100;0;0;AF
35301413;2010;3;1;3;10;75;25;0;AF
35301413;2010;3;1;4;10;100;0;0;AF
35301413;2010;3;1;5;8;87.5;12.5;0;AF
35301413;2010;3;1;6;0;0;0;0;AF
35301413;2010;3;1;7;0;0;0;0;AF
35301413;2010;3;1;8;0;0;0;0;AF
35301413;2010;3;1;9;0;0;0;0;AF
35301413;2010;3;1;10;0;0;0;0;AF
35301413;2010;3;1;11;0;0;0;0;AF
35301413;2010;3;1;12;0;0;0;0;AF
35405413;2010;3;1;1;59;98.1;0;1.9;AF
35405413;2010;3;1;2;15;100;0;0;AF
35405413;2010;3;1;3;15;100;0;0;AF
35405413;2010;3;1;4;15;100;0;0;AF
35405413;2010;3;1;5;11;100;0;0;AF
35405413;2010;3;1;6;0;0;0;0;AF
35405413;2010;3;1;7;0;0;0;0;AF
35405413;2010;3;1;8;0;0;0;0;AF
35405413;2010;3;1;9;0;0;0;0;AF
35405413;2010;3;1;10;0;0;0;0;AF
35405413;2010;3;1;11;0;0;0;0;AF
35405413;2010;3;1;12;0;0;0;0;AF
35429168;2010;4;1;1;0;0;0;0;AF
35429168;2010;4;1;2;0;0;0;0;AF
35429168;2010;4;1;3;0;0;0;0;AF
35429168;2010;4;1;4;0;0;0;0;AF
35429168;2010;4;1;5;0;0;0;0;AF
35429168;2010;4;1;6;18;95;5;0;AF
35429168;2010;4;1;7;20;90;10;0;AF
